"value","European Union & Foreign Affairs","Parliamentary Procedures","Environment & Energy","Health & Healthcare","Welfare & Social Housing","Education & Learning","Economy & Financial Services","Standards & Technology","Crime & Justice","Defence & Armed Forces","Immigration & Borders"
"Zac Goldsmith",0.311787072243346,0.282208588957055,0.515463917525773,0.267605633802817,0.272189349112426,0.435897435897436,0.495412844036697,0.644067796610169,0.777777777777778,0.615384615384615,0.525114155251142
"Adrian Bailey",0.844106463878327,0.785276073619632,0.56701030927835,0.408450704225352,0.769230769230769,0.58974358974359,0.412844036697248,0.389830508474576,0.30952380952381,0.471153846153846,0.447488584474886
"Glyn Davies",0.319391634980989,0.104294478527607,0.350515463917526,0.225352112676056,0.171597633136095,0.307692307692308,0.623853211009174,0.779661016949153,0.857142857142857,0.605769230769231,0.547945205479452
"Stephen Barclay",0.319391634980989,0.134969325153374,0.360824742268041,0.28169014084507,0.195266272189349,0.307692307692308,0.577981651376147,0.728813559322034,0.873015873015873,0.586538461538462,0.547945205479452
"Ronnie Campbell",0.692015209125475,0.558282208588957,0.577319587628866,0.549295774647887,0.615384615384615,0.538461538461538,0.36697247706422,0.305084745762712,0.436507936507937,0.432692307692308,0.484018264840183
"Gloria De Piero",0.760456273764259,0.901840490797546,0.65979381443299,0.704225352112676,0.727810650887574,0.692307692307692,0.422018348623853,0.254237288135593,0.150793650793651,0.423076923076923,0.474885844748858
"Colin Clark",0.349809885931559,0.478527607361963,0.505154639175258,0.464788732394366,0.473372781065089,0.512820512820513,0.697247706422018,0.644067796610169,0.452380952380952,0.557692307692308,0.506849315068493
"Charlie Elphicke",0.376425855513308,0.122699386503067,0.371134020618557,0.23943661971831,0.177514792899408,0.282051282051282,0.596330275229358,0.779661016949153,0.936507936507937,0.605769230769231,0.54337899543379
"Ian Austin",0.752851711026616,0.779141104294479,0.597938144329897,0.47887323943662,0.727810650887574,0.41025641025641,0.623853211009174,0.322033898305085,0.293650793650794,0.509615384615385,0.452054794520548
"Vince Cable",0.733840304182509,0.52760736196319,0.515463917525773,0.507042253521127,0.520710059171598,0.538461538461538,0.330275229357798,0.271186440677966,0.452380952380952,0.413461538461538,0.497716894977169
"Henry Bellingham",0.269961977186312,0.134969325153374,0.43298969072165,0.563380281690141,0.289940828402367,0.512820512820513,0.568807339449541,0.661016949152542,0.761904761904762,0.538461538461538,0.5662100456621
"Margot James",0.349809885931559,0.165644171779141,0.45360824742268,0.253521126760563,0.21301775147929,0.230769230769231,0.568807339449541,0.694915254237288,0.785714285714286,0.576923076923077,0.520547945205479
"Richard Harrington",0.368821292775665,0.0858895705521472,0.34020618556701,0.253521126760563,0.207100591715976,0.256410256410256,0.63302752293578,0.644067796610169,0.912698412698413,0.596153846153846,0.54337899543379
"Joseph  Johnson",0.543726235741445,0.496932515337423,0.515463917525773,0.492957746478873,0.502958579881657,0.512820512820513,0.495412844036697,0.423728813559322,0.46031746031746,0.490384615384615,0.502283105022831
"Peter Heaton-Jones",0.281368821292776,0.460122699386503,0.474226804123711,0.464788732394366,0.378698224852071,0.384615384615385,0.724770642201835,0.694915254237288,0.547619047619048,0.567307692307692,0.525114155251142
"Mark Lancaster",0.273764258555133,0.466257668711656,0.494845360824742,0.464788732394366,0.396449704142012,0.384615384615385,0.752293577981651,0.677966101694915,0.555555555555556,0.567307692307692,0.529680365296804
"Anne Main",0.178707224334601,0.263803680981595,0.43298969072165,0.591549295774648,0.307692307692308,0.615384615384615,0.477064220183486,0.593220338983051,0.777777777777778,0.5,0.547945205479452
"Stephen Kerr",0.346007604562738,0.466257668711656,0.505154639175258,0.450704225352113,0.473372781065089,0.512820512820513,0.715596330275229,0.627118644067797,0.46031746031746,0.557692307692308,0.506849315068493
"Nick Hurd",0.32319391634981,0.47239263803681,0.515463917525773,0.450704225352113,0.414201183431953,0.384615384615385,0.706422018348624,0.627118644067797,0.547619047619048,0.509615384615385,0.529680365296804
"Helen Goodman",0.828897338403042,0.883435582822086,0.597938144329897,0.492957746478873,0.668639053254438,0.512820512820513,0.467889908256881,0.457627118644068,0.357142857142857,0.5,0.447488584474886
"Paul Masterton",0.399239543726236,0.484662576687117,0.505154639175258,0.450704225352113,0.461538461538462,0.512820512820513,0.678899082568807,0.644067796610169,0.46031746031746,0.557692307692308,0.506849315068493
