about,title,date_value,search_url,
104464,"Damages (Asbestos-Related Conditions) Bill, Question put, That the amendment 16 be made",16/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-16&endDate=2009-10-16&searchTerm=Damages (A&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Damages (Asbestos-Related Conditions) Bill 2009-10-16.txt
104465,"Damages (Asbestos-Related Conditions) Bill, Question put, That the Bill be now read the Third time",16/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-16&endDate=2009-10-16&searchTerm=Damages (A&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Damages (Asbestos-Related Conditions) Bill 2009-10-16.txt
104466,"Law Commission Bill (Lords), Question put, That the amendment be made",16/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-16&endDate=2009-10-16&searchTerm=Law Commis&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Law Commission Bill [Lords] 2009-10-16.txt
104467,"Law Commission Bill (Lords), Question put, That the amendment be made",16/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-16&endDate=2009-10-16&searchTerm=Law Commis&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Law Commission Bill [Lords] 2009-10-16.txt
104461,"Higher Education, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",14/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-14&endDate=2009-10-14&searchTerm=Higher Edu&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Higher Education 2009-10-14.txt
104462,"NHS Dentistry, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",14/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-14&endDate=2009-10-14&searchTerm=NHS Dentis&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,NHS Dentistry 2009-10-14.txt
104456,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the new clause 3 be read a Second time",13/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-13&endDate=2009-10-13&searchTerm=Local Demo&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"Local Democracy, Economic Development and Construction Bill [Lords] 2009-10-13.txt"
104457,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That new clause 8 be read a second time",13/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-13&endDate=2009-10-13&searchTerm=Local Demo&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"Local Democracy, Economic Development and Construction Bill [Lords] 2009-10-13.txt"
104458,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That new clause 13 be read a second time",13/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-13&endDate=2009-10-13&searchTerm=Local Demo&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"Local Democracy, Economic Development and Construction Bill [Lords] 2009-10-13.txt"
104459,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the amendment 27 be made",13/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-13&endDate=2009-10-13&searchTerm=Local Demo&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"Local Democracy, Economic Development and Construction Bill [Lords] 2009-10-13.txt"
